,value,numBigOnes,aveNumExprEvaluated,aveNumSolutions,aveSolveTimeSec
338,184,3,26878.3,54.6,0.26820013523101804
339,184,4,28181.5,56.7,0.29610002040863037
340,185,1,17782.2,51.0,0.1988002300262451
341,185,2,27466.8,62.6,0.2907828092575073
342,185,3,27560.6,45.7,0.2789105653762817
343,185,4,30201.6,31.0,0.3173910856246948
344,186,1,17756.8,61.6,0.2005479097366333
345,186,2,26482.9,60.3,0.28208041191101074
346,186,3,29425.5,46.2,0.30410721302032473
347,186,4,25960.6,22.6,0.28569557666778567
348,187,1,16821.4,43.4,0.19141831398010253
349,187,2,22609.6,52.9,0.23507745265960694
350,187,3,24424.0,39.9,0.2575674295425415
351,187,4,30944.5,21.9,0.3195300579071045
352,188,1,16129.0,44.8,0.18668794631958008
353,188,2,21863.9,54.3,0.23600454330444337
354,188,3,27053.0,24.5,0.28733823299407957
355,188,4,26202.2,22.1,0.287075138092041
356,189,1,14257.6,70.1,0.1728733777999878
357,189,2,23655.8,61.6,0.2504264831542969
358,189,3,29149.2,48.5,0.30231997966766355
359,189,4,29849.8,33.8,0.31337223052978513
360,190,1,19010.9,65.8,0.22110042572021485
361,190,2,19111.1,45.3,0.20217642784118653
362,190,3,24973.7,46.0,0.27589352130889894
363,190,4,27472.8,38.8,0.3092705726623535
364,191,1,16357.9,55.6,0.19463486671447755
365,191,2,21563.6,48.4,0.24040684700012208
366,191,3,27598.6,49.2,0.2868372917175293
367,191,4,30008.4,34.4,0.30093233585357665
368,192,1,18194.1,97.8,0.2000810146331787
369,192,2,23811.0,70.4,0.25160515308380127
370,192,3,29507.8,68.6,0.2880845546722412
371,192,4,26083.8,27.2,0.27227532863616943
372,193,1,15178.0,48.9,0.1725266695022583
373,193,2,23076.7,56.5,0.238151216506958
374,193,3,27270.4,28.9,0.27793915271759034
375,193,4,27115.6,23.9,0.29840874671936035
376,194,1,16504.2,55.9,0.18547444343566893
377,194,2,24695.2,53.0,0.24954283237457275
378,194,3,27375.9,42.3,0.2715238094329834
379,194,4,29505.6,35.9,0.28978431224823
380,195,1,17388.8,56.2,0.19334073066711427
381,195,2,20591.0,56.1,0.21215465068817138
382,195,3,28690.9,52.5,0.30659120082855223
383,195,4,26718.9,49.6,0.26583678722381593
384,196,1,16282.0,70.4,0.18580033779144287
385,196,2,24262.1,60.0,0.24850966930389404
386,196,3,28877.3,56.9,0.28001041412353517
387,196,4,27486.4,45.7,0.2870872974395752
388,197,1,16550.2,56.4,0.18737568855285644
389,197,2,21220.7,53.5,0.21496691703796386
390,197,3,29367.8,49.7,0.2889073371887207
391,197,4,28315.9,51.6,0.29608128070831297
392,198,1,16715.4,89.2,0.1814115047454834
393,198,2,25405.7,67.1,0.25786287784576417
394,198,3,26324.3,49.3,0.2663293361663818
395,198,4,30026.3,45.5,0.28936142921447755
396,199,1,16097.3,51.0,0.17336277961730956
397,199,2,24392.1,53.6,0.24163370132446288
398,199,3,27983.5,42.2,0.2788738965988159
399,199,4,27669.9,43.7,0.2708322048187256
400,200,1,17997.2,128.7,0.18661742210388182
401,200,2,17588.4,200.9,0.190282940864563
402,200,3,30528.7,184.8,0.2901192903518677
403,200,4,29352.7,256.9,0.2994980335235596
404,201,1,14859.8,42.1,0.16890156269073486
405,201,2,22789.9,56.1,0.22210402488708497
406,201,3,26288.7,51.0,0.2496399164199829
407,201,4,29622.2,38.9,0.2811471939086914
408,202,1,15333.1,70.4,0.1659405469894409
409,202,2,22820.9,58.5,0.22659702301025392
410,202,3,28038.4,58.5,0.2841911554336548
411,202,4,29109.5,55.8,0.2830584287643433
412,203,1,13276.8,45.8,0.14169044494628907
413,203,2,23141.8,52.0,0.23538248538970946
414,203,3,29955.3,60.3,0.3043369770050049
415,203,4,29751.0,39.5,0.29778308868408204
416,204,1,17110.1,57.6,0.1791996717453003
417,204,2,23028.3,52.7,0.23466296195983888
418,204,3,26481.8,42.3,0.2763927936553955
419,204,4,29349.1,62.8,0.29814102649688723
420,205,1,16240.3,54.9,0.17757701873779297
421,205,2,27127.3,65.6,0.26713993549346926
422,205,3,25806.3,45.6,0.2658476114273071
423,205,4,29084.5,55.3,0.29459366798400877
424,206,1,17048.7,57.1,0.18350751399993898
425,206,2,21066.9,52.2,0.22318196296691895
426,206,3,26627.9,42.5,0.2737370252609253
427,206,4,28921.8,30.0,0.3077417850494385
428,207,1,17530.1,47.9,0.2146996259689331
429,207,2,25025.3,70.6,0.248237943649292
430,207,3,28264.8,58.2,0.27535760402679443
431,207,4,29561.1,45.6,0.3159245491027832
432,208,1,17003.6,65.1,0.1989429235458374
433,208,2,23551.4,63.5,0.23909807205200195
434,208,3,29320.9,59.8,0.2912591457366943
435,208,4,28042.7,24.7,0.29519190788269045
436,209,1,13287.6,41.6,0.14702973365783692
437,209,2,19052.9,45.1,0.18729259967803955
438,209,3,29971.0,45.8,0.27843351364135743
439,209,4,27321.0,22.7,0.26112430095672606
440,210,1,15518.9,97.9,0.16776776313781738
441,210,2,23195.3,56.6,0.23875582218170166
442,210,3,26428.9,44.2,0.25344936847686766
443,210,4,28635.7,61.4,0.2922926425933838
444,211,1,17722.3,49.5,0.1825167417526245
445,211,2,23297.2,37.7,0.21756470203399658
446,211,3,29972.0,39.1,0.30047528743743895
447,211,4,28733.4,16.1,0.3050668239593506
448,212,1,16804.6,47.0,0.18331339359283447
449,212,2,22061.7,39.2,0.2192470073699951
450,212,3,30388.3,44.0,0.29859540462493894
451,212,4,29717.8,29.7,0.2838615894317627
452,213,1,16687.5,49.9,0.17888989448547363
453,213,2,22768.1,51.1,0.2238981008529663
454,213,3,28044.4,39.7,0.27705817222595214
455,213,4,28889.9,17.5,0.307042670249939
456,214,1,14427.0,58.7,0.15449943542480468
457,214,2,27281.3,54.3,0.2595675945281982
458,214,3,24628.5,29.4,0.25156350135803224
459,214,4,29216.3,20.3,0.29219827651977537
460,215,1,15676.7,46.0,0.1697185754776001
461,215,2,23342.3,54.8,0.21978604793548584
462,215,3,27636.0,43.2,0.2577011823654175
463,215,4,30939.7,35.3,0.28986849784851076
464,216,1,20086.5,102.1,0.20313453674316406
465,216,2,24796.6,76.3,0.23407461643218994
466,216,3,27121.5,64.7,0.250879693031311
467,216,4,28835.5,46.9,0.27353968620300295
468,217,1,13268.1,43.9,0.14311749935150148
469,217,2,21174.8,46.8,0.21388719081878663
470,217,3,27870.6,49.2,0.2718484878540039
471,217,4,29586.1,30.4,0.2798060655593872
472,218,1,14487.2,45.6,0.16677143573760986
473,218,2,15203.6,26.1,0.1574409246444702
474,218,3,29276.8,39.6,0.2691730260848999
475,218,4,28672.2,20.1,0.2722949743270874
476,219,1,16282.9,46.1,0.16720304489135743
477,219,2,19143.0,48.3,0.18558890819549562
478,219,3,28351.2,42.5,0.26274402141571046
479,219,4,27199.9,23.2,0.2599053859710693
